,Estrategia,Categoría,CAGR IS,CAGR OOS,Alpha IS,Alpha OOS,Sharpe IS,Sharpe OOS,MaxDD IS,MaxDD OOS,$100 1yr
1,MOM_L12_S0_T5,Momentum CS,0.23344844097480277,0.3926485891496736,0.10088382442234023,0.23404562215170843,1.1382052398290015,1.2845030999384093,-0.24798610364783336,-0.16926188403604525,139.26485891496736
2,MOM_L9_S0_T5,Momentum CS,0.19337578453443105,0.35315556904887924,0.060811167981968506,0.19455260205091407,0.9542228004102131,1.144397411873423,-0.21470514778403815,-0.17765699370484667,135.31555690488793
3,MOM_L6_S0_T5,Momentum CS,0.24044333547436358,0.3378516030883387,0.10787871892190104,0.17924863609037356,1.293715222111391,1.1762040005252556,-0.20172649980322954,-0.16455756872075633,133.78516030883387
4,MOM_L12_S1_T5,Momentum CS,0.19413946739222854,0.3280132425838229,0.06157485083976599,0.16941027558585775,0.8995765118553066,1.075736794276867,-0.2368878649140468,-0.19641738581197132,132.8013242583823
5,MOM_L6_S1_T5,Momentum CS,0.22671339702942395,0.30914816928291433,0.0941487804769614,0.15054520228494916,1.208692399713705,1.0420687757770888,-0.20404698093484808,-0.1904624966504519,130.91481692829143
6,MOM_L9_S1_T5,Momentum CS,0.24219755252518094,0.30876740616052456,0.10963293597271839,0.1501644391625594,1.1462486327491446,0.9865113438647398,-0.21108671405603774,-0.23996003633306784,130.87674061605244
7,MOM_L12_S0_T10,Momentum CS,0.1939326151118861,0.2930513823389489,0.06136799855942354,0.13444841534098373,1.05660717011808,1.1068325273380584,-0.19465791242129027,-0.1754349503153857,129.3051382338949
8,MOM_L3_S1_T5,Momentum CS,0.23585524055726448,0.29137830981717605,0.10329062400480193,0.13277534281921088,1.2190178698592784,0.9825241693721788,-0.14425346314270993,-0.23711005620961445,129.1378309817176
9,MOM_L3_S0_T5,Momentum CS,0.21788854996354035,0.27420894028940346,0.0853239334110778,0.11560597329143829,1.2047971866163705,1.0012783094586521,-0.20238702691526267,-0.19466007754959624,127.42089402894035
10,MOM_L12_S1_T10,Momentum CS,0.17975837606491663,0.2729023156512813,0.04719375951245408,0.11429934865331615,0.9448742520165225,1.0377283927295573,-0.2030268825064001,-0.19449761295448864,127.29023156512812
11,DUALMOM_L3_EFA_AGG,Dual Momentum,0.23127845358335763,0.2710611911103882,0.09871383703089509,0.11245822411242301,2.2236349923297585,1.4945661236470458,-0.03902239956139242,-0.10157548282295525,127.10611911103882
12,MOM_L6_S0_T10,Momentum CS,0.19928968137585024,0.25835763683434076,0.06672506482338769,0.0997546698363756,1.1631598822509879,1.0299356701112863,-0.17146201660901828,-0.16636433193406042,125.83576368343408
13,MOM_L3_S1_T10,Momentum CS,0.19428370238442105,0.2535997702358317,0.06171908583195851,0.09499680323786652,1.0812932704111033,0.9907019881054981,-0.17040786205618486,-0.2024102821238276,125.35997702358317
14,MOM_L9_S0_T10,Momentum CS,0.20179885633162864,0.253303027008285,0.0692342397791661,0.09470006001031983,1.1305491367208917,0.9755878665528273,-0.18587636907815386,-0.16280978408526792,125.3303027008285
15,MOM_L6_S1_T10,Momentum CS,0.18803788444049574,0.25311315325589767,0.055473267888033195,0.0945101862579325,1.0304712386789632,0.9937298050177382,-0.19993008950641966,-0.1757031834543773,125.31131532558976
