estrategia,hora,trades,win_pct,total_return,avg_pnl,avg_win,avg_loss,max_dd,final_equity
FVG,09:30,13,0.6923076923076923,0.1290139618622412,0.03191740988587297,0.06682390670374137,-0.04662220795433094,-0.033839175471226314,11290.139618622412
FVG,10:30,11,0.45454545454545453,0.036629321021867875,0.011598804019806412,0.07878475493875685,-0.044389488412652285,-0.04323937729465126,10366.293210218679
FVG,11:30,10,0.6,0.08998563690091978,0.029506356900431484,0.07102674942671106,-0.03277423188898787,-0.035561450593183656,10899.856369009198
FVG,12:30,14,0.35714285714285715,-0.00741798584002554,-0.0010410927466699856,0.08314991262455276,-0.0478138735084604,-0.05688888690289795,9925.820141599745
FVG,13:30,12,0.4166666666666667,0.002036873392139205,0.001334343063127283,0.0795965383073669,-0.05456722496847244,-0.052501766256140656,10020.368733921392
FVG,14:30,11,0.5454545454545454,0.04378360406554093,0.013683788242583211,0.06866441660798615,-0.052292965795900336,-0.027752410066889974,10437.83604065541
FVG,15:30,11,0.5454545454545454,0.04109692749336955,0.012919013023328051,0.06948280453585871,-0.05495753679170875,-0.0497953939852701,10410.969274933695
ICT,09:30,97,0.5051546391752577,0.11506155235684074,0.0044543128159791655,0.03899551315054996,-0.030806495858895184,-0.13432430213654845,11150.615523568407
ICT,10:30,92,0.532608695652174,0.08716036685449853,0.00522749065344868,0.03643281225017491,-0.030332061863750974,-0.07975084245434755,10871.603668544985
ICT,11:30,95,0.5368421052631579,0.090435952225634,0.005117728501351023,0.038137600065629385,-0.03315530444815344,-0.06786773731739762,10904.35952225634
ICT,12:30,92,0.5543478260869565,0.15131815658223768,0.00791135753332269,0.040862380313479545,-0.033076500071262664,-0.03595547533997731,11513.181565822377
ICT,13:30,91,0.5494505494505495,0.07123046651124387,0.006586413690881691,0.0369168727176092,-0.03040195097585918,-0.06854836787198877,10712.304665112439
ICT,14:30,91,0.6043956043956044,0.27113186787093546,0.013650530963714052,0.043071938620385115,-0.03129884184508895,-0.07403177198435809,12711.318678709355
ICT,15:30,91,0.4945054945054945,0.04901251314590299,0.0026587868215538495,0.03734329572039623,-0.031271711014270225,-0.11170016687228866,10490.12513145903
